scenario,method,n_train,eta,delta,lambda,true_value,true_regret,q05_value,cvar10_value,emp_nominal_value,emp_robust_value,emp_true_value,gamma_u,match_rate,selected_u_raw,hotspot_treat1_rate,lcb,coverage,gap,epsilon,kl_to_prior,rep_seed,replication
S0,owl_clipped,200,nan,nan,0.001,0.525557170771626,0.0,0.252296198567995,0.24321401655007444,0.7267448264144258,0.7267448264144258,0.7267448264144258,0.0,0.695,0.0,0.19015,nan,nan,nan,0.5,,2811363264,2
S0,owl_robust_map,200,nan,nan,0.001,0.525557170771626,0.0,0.252296198567995,0.24321401655007444,0.7267448264144258,0.7267448264144258,0.7267448264144258,0.0,0.695,0.0,0.19015,nan,nan,nan,0.5,,2811363264,2
S0,oracle_true_owl,200,nan,nan,0.001,0.525557170771626,0.0,0.252296198567995,0.24321401655007444,0.7267448264144258,0.7267448264144258,0.7267448264144258,0.0,0.695,0.0,0.19015,nan,nan,nan,0.5,,2811363264,2
S0,pac_nominal_gibbs,200,0.3,nan,nan,0.5241613292904443,0.0013958414811816588,0.2636174425683321,0.2549011927314377,0.7146016972304057,0.7146016972304057,0.7146016972304057,0.0,0.6837743416152157,0.0,0.19212680334567012,nan,nan,nan,0.5,1.398973673802866,2811363264,2
S0,pac_robust_gibbs,200,0.3,0.2,nan,0.5241613292904443,0.0013958414811816588,0.2636174425683321,0.2549011927314377,0.7146016972304057,0.7146016972304057,0.7146016972304057,0.0,0.6837743416152157,0.0,0.19212680334567012,0.5393213110225065,0.0,-0.015159981732062122,0.5,1.398973673802866,2811363264,2
S0,pac_robust_gibbs,200,0.3,0.1,nan,0.5241613292904443,0.0013958414811816588,0.2636174425683321,0.2549011927314377,0.7146016972304057,0.7146016972304057,0.7146016972304057,0.0,0.6837743416152157,0.0,0.19212680334567012,0.5162164050038416,1.0,0.007944924286602761,0.5,1.398973673802866,2811363264,2
S0,pac_robust_gibbs,200,0.3,0.05,nan,0.5241613292904443,0.0013958414811816588,0.2636174425683321,0.2549011927314377,0.7146016972304057,0.7146016972304057,0.7146016972304057,0.0,0.6837743416152157,0.0,0.19212680334567012,0.49311149898517675,1.0,0.03104983030526759,0.5,1.398973673802866,2811363264,2
S0,pac_nominal_gibbs,200,1.0,nan,nan,0.5255919802145514,-3.480944292544308e-05,0.25246621456836665,0.24356656495330853,0.7267177848387462,0.7267177848387462,0.7267177848387462,0.0,0.6949742839485912,0.0,0.19014160934668786,nan,nan,nan,0.5,1.8882512361536947,2811363264,2
S0,pac_robust_gibbs,200,1.0,0.2,nan,0.5255919802145514,-3.480944292544308e-05,0.25246621456836665,0.24356656495330853,0.7267177848387462,0.7267177848387462,0.7267177848387462,0.0,0.6949742839485912,0.0,0.19014160934668786,0.44174089335286776,1.0,0.08385108686168369,0.5,1.8882512361536947,2811363264,2
S0,pac_robust_gibbs,200,1.0,0.1,nan,0.5255919802145514,-3.480944292544308e-05,0.25246621456836665,0.24356656495330853,0.7267177848387462,0.7267177848387462,0.7267177848387462,0.0,0.6949742839485912,0.0,0.19014160934668786,0.4348094215472683,1.0,0.09078255866728313,0.5,1.8882512361536947,2811363264,2
S0,pac_robust_gibbs,200,1.0,0.05,nan,0.5255919802145514,-3.480944292544308e-05,0.25246621456836665,0.24356656495330853,0.7267177848387462,0.7267177848387462,0.7267177848387462,0.0,0.6949742839485912,0.0,0.19014160934668786,0.4278779497416689,1.0,0.09771403047288257,0.5,1.8882512361536947,2811363264,2
S0,pac_nominal_gibbs,200,3.0,nan,nan,0.5255965156298905,-3.934485826451173e-05,0.25245989802641383,0.2435366555109825,0.7267448264056426,0.7267448264056426,0.7267448264056426,0.0,0.6949999999911259,0.0,0.19013320061158737,nan,nan,nan,0.5,1.8912994922503399,2811363264,2
